"","all_trips_v2$usertype","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3551.80511110399
"2","member","Sunday",925.986515143277
"3","casual","Monday",3386.0024889874
"4","member","Monday",838.828832676853
"5","casual","Tuesday",3547.73907818235
"6","member","Tuesday",836.52658274477
"7","casual","Wednesday",3689.97976640723
"8","member","Wednesday",813.978173658802
"9","casual","Thursday",3826.22645588305
"10","member","Thursday",811.284681021448
"11","casual","Friday",3776.31387493088
"12","member","Friday",825.248129395
"13","casual","Saturday",3329.94831250293
"14","member","Saturday",974.509217956888
